A79849
A79851
A79863
A99244
AB000604	BAA75824	gb|AB000604:4-1128	BAA75825	(gb|AB000604:4-731, 960)	BAA75826	gb|AB000604:709-1128
AB000605	BAA75827	gb|AB000605:4-1128	BAA75828	(gb|AB000605:4-731, 960)	BAA75829	gb|AB000605:709-1128
AB000606	BAA75830	gb|AB000606:4-1128	BAA75831	(gb|AB000606:4-731, 960)	BAA75832	gb|AB000606:709-1128
AB000607	BAA75833	gb|AB000607:4-1128	BAA75834	(gb|AB000607:4-731, 960)	BAA75835	gb|AB000607:709-1128
AB000608	BAA75836	gb|AB000608:4-1128	BAA75837	(gb|AB000608:4-731, 960)	BAA75838	gb|AB000608:709-1128
AB000609	BAA75839	gb|AB000609:4-1128	BAA75840	(gb|AB000609:4-731, 960)	BAA75841	gb|AB000609:709-1128
AB000610	BAA75842	gb|AB000610:4-1128	BAA75843	(gb|AB000610:4-731, 960)	BAA75844	gb|AB000610:709-1128
AB000611	BAA75845	gb|AB000611:4-1128	BAA75846	(gb|AB000611:4-731, 960)	BAA75847	gb|AB000611:709-1128
AB000612	BAA75848	gb|AB000612:5-1129	BAA75849	(gb|AB000612:5-732, 961)	BAA75850	gb|AB000612:710-1129
AB000613	BAA75851	gb|AB000613:4-1128	BAA75852	(gb|AB000613:4-731, 960)	BAA75853	gb|AB000613:709-1128
AB000614	BAA75854	gb|AB000614:4-1128	BAA75855	(gb|AB000614:4-731, 960)	BAA75856	gb|AB000614:709-1128
AB000720	BAA75857	gb|AB000720:4-1128	BAA75858	(gb|AB000720:4-731, 960)	BAA75859	gb|AB000720:709-1128
AB000721	BAA75860	gb|AB000721:5-1129	BAA75861	(gb|AB000721:5-732, 961)	BAA75862	gb|AB000721:710-1129
AB000722	BAA75863	gb|AB000722:4-1128	BAA75864	(gb|AB000722:4-731, 960)	BAA75865	gb|AB000722:709-1128
AB000723	BAA75866	gb|AB000723:4-1128	BAA75867	(gb|AB000723:4-731, 960)	BAA75868	gb|AB000723:709-1128
AB000724	BAA75869	gb|AB000724:4-1128	BAA75870	(gb|AB000724:4-731, 960)	BAA75871	gb|AB000724:709-1128
AB000725	BAA75872	gb|AB000725:4-1128	BAA75873	(gb|AB000725:4-731, 960)	BAA75874	gb|AB000725:709-1128
AB000726	BAA75875	gb|AB000726:5-1129	BAA75876	(gb|AB000726:5-732, 961)	BAA75877	gb|AB000726:710-1129
AB000727	BAA75878	gb|AB000727:5-1129	BAA75879	(gb|AB000727:5-732, 961)	BAA75880	gb|AB000727:710-1129
AB000728	BAA75881	gb|AB000728:4-1128	BAA75882	(gb|AB000728:4-731, 960)	BAA75883	gb|AB000728:709-1128
AB002469	BAA19602	(gb|AB002469:23-209, 523-884)	BAA19603	gb|AB002469:23-763
AB013806	BAA77284	gb|AB013806:<1->710
AB013807	BAA77285	gb|AB013807:<1->710
AB013808	BAA77286	gb|AB013808:<1->710
AB013809	BAA77287	gb|AB013809:<1->710
AB013810	BAA77288	gb|AB013810:<1->710
AB013811	BAA77289	gb|AB013811:<1->710
AB013812	BAA77290	gb|AB013812:<1->710
AB013813	BAA77291	gb|AB013813:<1->710
AB014060	BAA77292	gb|AB014060:<1->710
AB014061	BAA77293	gb|AB014061:<1->710
AB014062	BAA77294	gb|AB014062:<1->710
AB019354	BAA86062	gb|AB019354:30-1730
AB019355	BAA86063	gb|AB019355:30-1730
AB019356	BAA86064	gb|AB019356:30-1730
AB019357	BAA86065	gb|AB019357:30-1730
AB019358	BAA86066	gb|AB019358:30-1526
AB019359	BAA86067	gb|AB019359:30-1526
AB019360	BAA86068	gb|AB019360:30-1526
AB019361	BAA86069	gb|AB019361:30-1526
AB020778	BAA35109	gb|AB020778:29-1525
AB027386	BAA86718	gb|AB027386:<1->1032
AB027387	BAA86719	gb|AB027387:<1->1038
AB027388	BAA86720	gb|AB027388:<1->1038
AB027389	BAA86721	gb|AB027389:<1->1032
AB027390	BAA86722	gb|AB027390:<1->1035
AB027391	BAA86723	gb|AB027391:<1->1035
AB027392	BAA86724	gb|AB027392:1->1080
AB027393	BAA86725	gb|AB027393:1->1080
AB027394	BAA86726	gb|AB027394:<1->1035
AB027395	BAA86727	gb|AB027395:1->1080
AB027396	BAA86728	gb|AB027396:1->1080
AB027397	BAA86729	gb|AB027397:1->1083
AB027398	BAA86730	gb|AB027398:1->1083
AB027399	BAA86731	gb|AB027399:1->1083
AB027400	BAA86732	gb|AB027400:1->1086
AB027401	BAA86733	gb|AB027401:1->1086
AB027402	BAA86734	gb|AB027402:1->1086
AB027403	BAA86735	gb|AB027403:<1->1041
AB027404	BAA86736	gb|AB027404:<1->1041
AB027405	BAA86737	gb|AB027405:<1->1038
AB027406	BAA86738	gb|AB027406:<1->1041
AB027407	BAA86739	gb|AB027407:<1->1035
AB027408	BAA86740	gb|AB027408:1->1083
AB027409	BAA86741	gb|AB027409:1-846
AB027474	BAA86742	gb|AB027474:1-846
AB027475	BAA86743	gb|AB027475:1-846
AB027476	BAA86744	gb|AB027476:1-846
AB027477	BAA86745	gb|AB027477:1-846
AB027478	BAA86746	gb|AB027478:1-846
AB027479	BAA86747	gb|AB027479:1-846
AB027480	BAA86748	gb|AB027480:1-846
AB027481	BAA86749	gb|AB027481:1-846
AB027482	BAA86750	gb|AB027482:1-846
AB027483	BAA86751	gb|AB027483:1-846
AB027484	BAA86752	gb|AB027484:1-846
AB027485	BAA86753	gb|AB027485:1-846
AB027486	BAA86754	gb|AB027486:1-846
AB027487	BAA86755	gb|AB027487:1-846
AB027488	BAA86756	gb|AB027488:1-846
AB027489	BAA86757	gb|AB027489:1-846
AB027490	BAA86758	gb|AB027490:1-846
AB027491	BAA86759	gb|AB027491:1-846
AB027492	BAA86760	gb|AB027492:1-846
AB027493	BAA86761	gb|AB027493:1-846
AB027494	BAA86762	gb|AB027494:1-846
AB027495	BAA86763	gb|AB027495:1->1080
AB029617	BAA82493	gb|AB029617:<1->1043
AB029618	BAA82494	gb|AB029618:<1->1083
